id,player_fifa_api_id,player_api_id,date,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
11,21012,40012,,89,Right,High,High,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,50,36,38,8,10,11,14,11
12,21013,40013,,89,Right,High,Medium,84,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91,35,32,29,9,9,15,15,11
13,21014,40014,,89,Right,High,Medium,83,91,68,84,79,87,85,74,74,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73,47,34,33,11,13,13,6,10
14,21015,40015,,89,Right,Medium,High,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,87,88,87,13,14,16,12,12
15,21016,40016,,91,Right,Medium,Medium,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,27,12,18,86,90,78,87,89
16,21017,40017,,89,Right,High,Medium,78,86,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75,42,42,38,10,10,15,7,14
17,21018,40018,,91,Left,Medium,Medium,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,29,15,8,87,82,93,88,88
18,21019,40019,,90,Right,High,Medium,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,78,8,15,7,15,15
19,21020,40020,,90,Right,Medium,Medium,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,15,19,16,86,85,85,90,89
20,21021,40021,,89,Right,Medium,High,68,65,54,82,56,78,49,49,76,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54,90,93,86,15,12,10,7,10
21,21022,40022,,91,Right,Medium,High,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,90,89,85,7,8,13,7,12
22,21023,40023,,94,Left,High,Medium,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,44,53,29,7,14,13,11,7
23,21024,40024,,92,Right,Medium,Medium,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,20,14,16,90,83,79,85,89
24,21025,40025,,88,Left,High,High,85,79,51,89,78,92,85,67,77,91,84,71,94,87,92,79,51,93,54,78,75,60,83,85,68,59,71,53,9,10,14,12,9
25,21026,40026,,88,Right,High,Medium,88,69,72,88,62,86,87,69,79,87,86,84,79,85,78,80,72,91,62,79,76,82,81,85,52,81,84,80,6,9,15,14,14
26,21027,40027,,90,Right,Medium,High,68,59,88,84,35,69,58,32,85,79,77,81,68,88,66,65,92,82,78,45,81,89,70,76,52,90,89,89,6,6,12,10,13
27,21028,40028,,88,Right,Medium,Medium,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,28,14,14,89,84,75,87,89
28,21029,40029,,89,Right,Medium,Medium,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,65,79,35,78,10,43,22,11,70,25,25,13,10,86,85,87,85,90
29,21030,40030,,88,Right,Medium,Medium,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73,71,73,60,10,11,13,7,10
30,21031,40031,,88,Right,Medium,Medium,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,70,75,72,13,9,7,14,9
31,21032,40032,,88,Right,High,High,68,40,82,80,34,64,50,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,88,87,84,14,15,10,12,8
32,21033,40033,,89,Right,Medium,High,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84,82,82,83,75,83,46,84,86,78,10,10,7,14,8
33,21034,40034,,88,Right,Medium,High,75,63,75,84,47,78,71,53,82,81,64,68,63,86,64,81,75,88,81,70,85,88,70,76,90,86,88,86,13,12,6,8,8
34,21035,40035,,87,Left,Medium,Medium,13,10,9,54,15,12,12,10,55,29,61,62,54,84,56,56,74,41,43,14,31,25,9,59,40,24,12,18,88,83,74,84,88
35,21036,40036,,87,Right,High,High,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,47,57,46,6,7,11,14,14
36,21037,40037,,87,Right,Medium,Medium,17,13,21,48,13,18,21,19,50,34,52,50,63,89,43,57,67,43,55,12,30,30,12,53,29,25,21,13,88,80,76,84,89
37,21038,40038,,87,Right,Medium,High,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64,78,82,84,12,12,15,15,10
38,21039,40039,,90,Right,Medium,Medium,18,15,17,57,16,31,38,16,53,40,50,53,41,85,56,64,74,39,78,20,35,25,15,61,15,23,16,19,85,82,85,85,89
39,21040,40040,,90,Right,High,Medium,92,62,69,87,63,78,87,85,91,86,76,76,73,83,73,82,66,89,66,75,71,83,78,90,55,79,83,80,14,15,14,6,7
40,21041,40041,,87,Left,High,High,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83,84,82,11,8,10,7,14
41,21042,40042,,87,Right,Medium,High,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,90,89,86,7,11,7,13,5
42,21043,40043,,88,Right,High,Medium,75,82,86,86,71,84,76,75,85,86,78,78,76,87,73,85,80,86,88,86,82,86,85,84,60,74,84,78,13,8,15,11,9
43,21044,40044,,92,Right,High,Medium,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,76,76,77,7,13,10,10,9
44,21045,40045,,86,Right,Medium,Medium,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,76,60,73,80,82,75,88,75,68,74,74,6,11,7,9,13
45,21046,40046,,86,Right,High,Medium,55,91,81,79,85,79,70,58,57,81,84,86,75,87,84,86,82,78,74,80,73,40,90,71,88,34,33,32,6,8,15,12,6
46,21047,40047,,86,Left,Medium,Low,73,88,87,78,79,82,78,66,70,78,72,86,59,86,52,87,74,67,95,75,71,27,86,75,88,30,41,30,8,15,14,7,10
47,21048,40048,,86,Left,Medium,Medium,83,63,77,89,67,77,77,85,80,85,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79,89,84,83,5,7,14,15,9
48,21049,40049,,86,Right,High,Medium,79,82,46,83,67,86,79,72,67,84,94,86,94,91,93,78,57,79,65,80,59,30,91,80,70,47,53,47,15,12,12,15,9
49,21050,40050,,86,Left,Medium,Medium,81,84,56,83,76,91,85,78,75,90,84,77,92,83,88,84,56,75,57,83,48,39,83,83,80,45,31,22,15,9,13,11,6
50,21051,40051,,86,Left,High,Low,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,68,60,89,43,42,82,91,84,32,41,39,5,4,4,5,8
51,21052,40052,,86,Right,Medium,High,60,40,82,81,61,67,62,61,82,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60,89,86,84,9,12,5,9,10
52,21053,40053,,86,Right,Medium,Medium,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,20,13,12,86,81,73,86,87
53,21054,40054,,86,Right,Medium,Medium,13,13,11,25,12,10,14,12,12,24,43,50,42,83,37,59,76,45,75,13,30,22,12,46,17,15,14,10,84,82,79,85,87
54,21055,40055,,86,Right,High,High,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,66,73,65,12,14,15,8,14
55,21056,40056,,86,Right,Medium,Medium,86,83,61,92,72,81,88,90,90,86,52,49,63,79,72,81,49,76,70,88,58,80,81,90,88,70,70,69,5,9,12,14,8
56,21057,40057,,87,Left,Medium,Medium,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44,86,87,86,10,11,5,14,5
57,21058,40058,,87,Right,Medium,Medium,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,29,27,21,5,3,5,3,5
58,21059,40059,,86,Right,Medium,Medium,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69,80,84,82,8,8,15,11,8
59,21060,40060,,89,Right,High,High,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,79,79,81,11,5,13,14,11
60,21061,40061,,90,Right,High,Medium,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74,55,31,44,11,8,8,8,13
61,21062,40062,,87,Right,Low,High,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,91,90,82,10,13,12,8,12
62,21063,40063,,89,Right,High,Medium,81,86,61,85,70,89,82,80,80,88,87,89,88,85,90,79,59,78,64,78,59,67,86,85,67,62,69,59,5,6,10,15,7
63,21064,40064,,87,Right,Medium,Medium,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,10,11,13,84,82,81,85,88
64,21065,40065,,92,Right,High,Medium,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,32,25,18,5,7,7,7,10
65,21066,40066,,87,Right,High,Medium,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,78,79,74,7,10,7,16,7
66,21067,40067,,87,Right,Medium,Medium,48,30,84,79,46,57,33,38,77,64,60,80,34,82,44,78,60,65,94,62,86,81,42,66,32,83,89,87,15,7,14,7,15
67,21068,40068,,85,Left,High,Medium,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81,83,79,34,82,87,74,34,42,30,15,9,8,14,15
68,21069,40069,,85,Right,High,Medium,78,86,42,82,83,87,74,62,75,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68,45,44,43,14,10,10,9,7
69,21070,40070,,85,Right,High,Medium,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80,76,75,67,11,14,5,5,13
70,21071,40071,,85,Right,High,High,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63,76,84,83,12,6,16,15,8
71,21072,40072,,85,Right,High,Low,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82,20,29,36,6,9,15,9,9
72,21073,40073,,85,Left,High,Medium,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59,74,78,79,13,15,13,6,13
73,21074,40074,,85,Right,Medium,Medium,62,67,68,87,50,80,66,68,85,85,40,43,66,81,50,61,66,75,70,54,79,84,76,83,60,83,83,82,5,8,13,9,13
74,21075,40075,,85,Left,High,High,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82,39,21,18,12,16,9,12,13
75,21076,40076,,85,Right,Medium,Low,73,74,74,87,84,89,85,82,92,87,60,72,71,77,65,90,80,65,88,84,79,62,77,90,80,53,67,63,5,6,2,4,3
76,21077,40077,,85,Right,High,Low,84,84,65,81,75,87,85,83,76,87,82,84,80,84,81,87,69,79,83,83,72,28,85,85,76,23,31,20,8,14,6,12,10
77,21078,40078,,85,Right,Medium,Medium,75,64,56,92,71,79,75,76,89,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89,67,81,71,14,7,13,14,8
78,21079,40079,,85,Left,High,High,87,66,60,84,68,87,88,75,78,88,77,76,83,84,90,82,63,91,80,81,84,80,81,82,76,81,85,84,8,14,13,13,14
79,21080,40080,,85,Left,High,Medium,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,44,41,41,15,12,7,12,10
80,21081,40081,,85,Right,High,High,81,81,53,80,74,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81,44,64,60,9,11,9,10,10
81,21082,40082,,85,Left,High,High,92,76,59,80,75,84,83,80,77,82,87,82,76,82,79,86,67,90,77,78,80,63,79,81,66,69,72,68,13,14,12,12,13
82,21083,40083,,85,Right,High,Medium,69,90,78,74,85,76,69,61,60,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85,45,52,54,15,14,7,15,11
83,21084,40084,,93,Right,High,High,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,70,67,62,72,77,88,53,68,73,63,12,7,11,8,8
84,21085,40085,,92,Left,High,High,76,79,47,85,59,87,73,68,81,91,86,78,91,83,91,82,49,83,47,77,64,59,82,85,64,58,59,47,8,15,6,10,13
85,21086,40086,,89,Right,Medium,High,52,50,85,75,45,65,48,55,67,73,69,79,60,84,62,82,93,75,93,66,83,81,44,45,40,84,86,85,12,11,11,12,10
86,21087,40087,,87,Left,High,Medium,64,87,86,78,80,83,78,56,64,85,74,82,83,82,67,82,75,69,83,80,65,25,86,74,67,44,24,19,11,15,8,9,14
87,21088,40088,,90,Left,High,Medium,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,74,81,80,12,10,7,7,7
88,21089,40089,,89,Right,High,High,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69,53,57,45,7,12,15,9,11
89,21090,40090,,85,Right,Medium,Medium,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,37,74,12,34,23,11,44,24,25,16,20,85,84,76,83,85
90,21091,40091,,85,Right,Medium,Medium,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,62,73,45,68,12,38,21,15,64,24,9,19,12,78,81,82,86,90
91,21092,40092,,85,Right,High,Medium,84,84,44,85,87,86,88,85,79,86,75,66,83,86,81,86,68,72,66,81,51,56,84,86,79,59,47,59,12,12,13,13,11
92,21093,40093,,86,Left,Medium,Medium,78,53,82,77,46,65,59,39,63,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63,42,85,85,83,10,7,8,14,10
93,21094,40094,,84,Right,High,Medium,63,65,88,78,69,63,72,75,80,78,66,56,66,85,65,79,91,56,81,64,90,84,69,71,90,82,82,83,11,8,9,7,11
94,21095,40095,,84,Right,High,Medium,83,77,38,83,72,84,85,79,78,85,90,83,91,80,93,79,67,71,44,82,56,40,78,85,72,50,30,34,8,11,12,9,6
95,21096,40096,,84,Right,Medium,Medium,12,10,10,42,12,18,20,14,40,21,41,47,44,79,36,49,75,36,69,19,25,22,12,41,23,25,10,13,80,80,65,90,85
96,21097,40097,,84,Right,High,Low,73,84,40,84,70,88,82,82,72,88,82,74,85,80,92,80,58,65,37,82,59,36,82,84,79,23,40,40,7,10,8,10,4
97,21098,40098,,84,Right,High,Medium,75,87,84,78,88,76,85,81,73,81,73,68,70,86,77,86,69,71,84,84,87,39,90,80,82,41,45,38,27,25,31,33,37
98,21099,40099,,84,Left,Medium,Medium,88,83,66,87,80,84,85,79,80,87,68,68,73,84,84,79,59,88,81,77,56,41,85,88,84,51,34,26,11,11,14,9,16
99,21100,40100,,84,Left,Medium,Medium,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,74,64,80,85,26,82,83,76,42,30,30,5,6,5,5,6
100,21101,40101,,84,Right,Medium,High,74,66,68,85,56,84,69,70,85,83,61,68,67,82,50,86,83,82,84,78,84,81,70,85,49,80,84,80,11,13,9,9,7
101,21102,40102,,84,Left,Medium,Medium,15,14,14,39,13,20,12,19,44,12,37,34,47,80,29,57,48,43,69,19,25,12,10,62,24,20,18,15,84,81,76,84,86
102,21103,40103,,84,Right,High,High,80,75,53,87,74,86,85,85,84,88,72,62,83,84,79,85,45,78,55,87,73,76,79,86,81,69,68,63,9,14,11,6,10
103,21104,40104,,84,Right,High,High,73,61,42,90,76,89,79,70,84,89,77,65,86,82,84,79,75,79,65,75,77,75,73,86,59,73,76,68,9,5,6,7,7
104,21105,40105,,84,Right,High,Medium,82,76,36,84,72,88,78,74,81,87,78,75,84,81,84,76,32,80,70,79,60,44,81,86,58,48,49,43,11,6,11,10,13
105,21106,40106,,84,Right,High,Medium,82,51,70,82,49,78,76,47,74,83,80,84,78,79,82,68,77,85,74,47,85,78,75,72,45,76,81,82,13,13,15,9,15
106,21107,40107,,84,Right,Medium,High,36,34,84,73,27,47,34,30,72,67,60,68,58,82,52,43,86,69,83,31,86,87,29,55,37,90,86,83,14,13,14,13,12
107,21108,40108,,84,Right,Medium,Medium,22,16,26,50,13,13,22,20,59,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,11,20,20,85,83,82,83,85
108,21109,40109,,85,Right,Medium,High,42,46,85,78,42,61,46,52,77,75,77,84,62,82,39,52,80,67,87,53,78,84,55,59,43,85,86,83,11,11,9,5,14
109,21110,40110,,84,Right,High,Low,74,87,74,83,85,87,82,76,66,88,82,81,91,85,91,84,77,72,68,74,62,44,89,80,85,34,33,26,6,13,9,7,7
110,21111,40111,,84,Right,High,Medium,76,76,59,84,76,90,89,86,86,90,87,81,90,77,94,76,48,74,35,81,34,26,80,87,87,53,24,22,8,4,14,9,10
111,21112,40112,,84,Right,Medium,Medium,65,57,86,81,64,69,66,53,85,78,45,60,60,86,62,71,70,66,87,49,71,87,57,80,68,88,86,85,15,6,10,5,6
112,21113,40113,,84,Right,Medium,High,49,25,84,75,27,66,45,36,71,73,66,69,61,85,59,65,80,80,79,60,77,87,31,70,41,88,87,85,8,10,7,14,13
113,21114,40114,,84,Right,Medium,Medium,54,36,84,80,50,74,63,23,74,74,53,67,55,86,42,66,78,67,82,48,84,86,48,72,42,88,88,82,11,15,10,7,10
114,21115,40115,,85,Left,Medium,Medium,15,15,14,35,13,14,20,13,37,23,44,46,50,80,43,59,58,44,72,18,33,16,15,42,20,11,19,17,84,82,79,84,86
115,21116,40116,,84,Left,High,Medium,81,78,50,84,67,82,85,84,86,83,84,82,83,84,81,78,39,80,71,84,68,77,84,90,80,64,74,62,15,12,16,13,12
116,21117,40117,,84,Right,High,Medium,81,79,43,85,75,87,84,79,74,87,84,78,91,81,94,73,72,77,49,78,66,45,82,84,64,58,55,38,10,5,5,13,12
117,21118,40118,,84,Right,Medium,Medium,86,54,79,82,58,74,86,84,80,82,74,66,66,83,79,79,78,86,64,70,73,81,76,80,66,79,81,81,11,14,8,11,10
118,21119,40119,,84,Right,Medium,High,44,50,83,81,58,69,56,60,81,79,53,55,55,81,53,74,90,63,82,65,82,86,38,71,74,87,84,80,2,2,3,2,4
119,21120,40120,,84,Left,High,Medium,85,76,51,82,78,88,92,88,80,87,80,78,91,83,75,83,70,74,61,84,73,42,82,87,73,41,55,52,10,7,11,12,11
120,21121,40121,,84,Right,Medium,Medium,77,78,61,85,82,89,83,79,81,87,84,82,85,77,89,82,55,74,61,77,54,41,83,84,87,34,27,22,11,12,6,8,8
121,21122,40122,,84,Right,High,Medium,85,80,80,79,81,83,78,75,79,82,79,78,76,85,75,84,87,84,80,78,65,72,85,76,76,80,70,68,6,7,10,9,6
122,21123,40123,,84,Right,Medium,Medium,63,87,85,76,79,77,65,54,76,84,61,65,62,83,55,86,64,69,86,77,58,50,90,74,67,54,28,16,9,11,13,15,15
123,21124,40124,,84,Left,Medium,High,63,33,77,65,45,57,60,31,66,55,66,65,53,78,57,78,90,63,91,49,87,87,28,50,50,84,88,84,3,3,2,4,3
124,21125,40125,,84,Right,High,Medium,78,76,58,85,71,82,84,76,85,85,80,76,78,81,80,80,68,91,80,78,76,79,78,86,66,71,81,75,13,12,10,7,14
125,21126,40126,,91,Right,High,High,66,77,67,84,71,85,68,49,82,84,78,73,81,84,79,78,76,89,74,74,85,80,77,84,56,79,78,76,14,11,10,5,8
126,21127,40127,,90,Right,High,Medium,75,80,50,78,80,89,78,62,72,82,91,91,88,86,81,86,53,85,70,84,69,30,84,77,62,65,44,44,6,7,8,9,7
127,21128,40128,,88,Left,High,Low,76,80,28,80,67,88,71,42,73,85,95,92,92,76,93,73,62,82,44,64,67,48,79,77,50,48,35,46,8,9,8,8,14
128,21129,40129,,91,Right,High,Low,74,86,72,83,83,88,77,90,77,85,81,85,81,81,77,90,66,78,79,85,58,27,84,81,89,22,28,17,5,12,6,12,14
129,21130,40130,,90,Right,Medium,Low,75,80,63,76,74,89,80,60,63,86,90,92,82,83,80,80,62,77,80,72,60,24,82,74,63,22,24,21,10,12,15,11,9
130,21131,40131,,89,Right,High,High,45,47,80,81,32,72,42,26,75,74,85,83,71,85,74,48,88,76,80,40,75,86,47,62,43,85,85,83,11,10,8,14,13
131,21132,40132,,86,Right,Medium,Medium,82,74,67,89,79,81,84,78,88,85,58,54,67,84,77,87,68,85,69,87,69,71,80,87,77,69,73,68,6,8,10,14,12
132,21133,40133,,90,Right,Medium,High,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81,81,84,81,75,78,64,81,81,75,13,9,8,7,7
133,21134,40134,,87,Right,High,Medium,76,80,62,76,74,89,75,58,71,87,92,91,88,83,75,84,73,84,69,82,70,25,81,77,63,28,38,34,10,13,13,14,14
134,21135,40135,,89,Right,Medium,Medium,69,48,82,79,34,70,60,40,76,74,83,88,70,85,62,62,85,86,79,42,84,86,64,59,60,85,86,84,11,8,15,12,15
135,21136,40136,,90,Right,High,High,70,69,59,86,70,78,70,66,85,83,82,91,76,84,68,83,62,86,79,81,81,81,78,81,59,79,81,79,6,10,6,15,8
136,21137,40137,,85,Left,Medium,Medium,82,80,72,82,84,86,84,83,70,85,89,88,87,82,81,86,64,70,66,80,63,34,81,81,71,36,32,35,8,12,9,9,14
137,21138,40138,,88,Right,High,Medium,88,66,71,82,62,83,82,76,78,81,79,83,75,81,88,83,75,83,85,69,74,78,77,80,52,81,83,79,8,12,7,13,11
138,21139,40139,,90,Left,Medium,High,70,26,82,78,35,70,53,36,78,76,68,77,58,86,57,49,75,81,82,37,84,85,39,57,47,87,87,82,11,5,9,11,12
139,21140,40140,,91,Left,Medium,Medium,74,81,80,84,80,85,84,53,79,85,76,85,77,84,75,74,75,77,69,78,42,38,82,82,73,39,46,38,6,8,11,10,12
140,21141,40141,,90,Right,Medium,Medium,77,79,69,83,83,89,83,67,76,88,84,83,88,83,84,80,76,75,62,81,68,40,85,86,68,30,42,35,13,12,14,13,14
141,21142,40142,,87,Right,High,Medium,84,75,68,81,74,79,77,74,73,82,91,93,82,81,78,80,79,92,72,73,75,78,78,77,60,75,76,76,10,8,14,6,8
142,21143,40143,,89,Left,High,Low,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75,63,77,78,77,77,60,76,77,71,11,11,6,5,14
143,21144,40144,,87,Right,Medium,High,55,61,72,83,50,78,58,58,84,79,68,74,55,81,67,74,74,90,79,65,84,85,58,79,71,82,84,80,8,11,14,5,9
144,21145,40145,,87,Right,High,High,83,81,59,87,75,82,82,84,84,85,76,72,77,84,76,81,54,86,58,83,68,59,82,83,69,55,57,41,11,12,13,8,12
145,21146,40146,,88,Right,High,Medium,80,77,38,86,83,91,84,65,70,88,84,78,90,81,89,71,51,66,62,65,44,39,81,85,74,32,39,32,7,11,10,11,13
146,21147,40147,,90,Right,Medium,High,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,86,89,82,10,13,10,11,7
147,21148,40148,,86,Right,High,High,66,73,68,83,60,78,61,54,75,84,77,79,70,81,77,84,72,93,86,78,84,84,74,76,88,85,84,78,9,11,12,12,10
148,21149,40149,,86,Left,High,Medium,81,85,60,82,74,84,77,78,73,85,80,78,79,80,80,80,72,79,57,81,52,29,85,82,84,55,32,30,10,6,10,13,11
149,21150,40150,,87,Right,High,High,74,77,74,88,74,82,74,79,85,87,79,79,80,85,82,79,70,90,74,76,74,72,80,87,82,73,76,73,12,7,10,13,11
150,21151,40151,,86,Right,Medium,High,53,50,70,78,68,72,60,60,75,77,64,68,63,87,66,80,89,89,78,69,88,88,64,62,57,86,88,84,13,14,7,7,13
151,21152,40152,,85,Right,High,Medium,74,80,67,86,66,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65,79,79,74,13,6,6,11,15
152,21153,40153,,89,Left,High,Medium,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,79,56,77,63,65,79,86,63,65,49,51,14,15,15,8,10
153,21154,40154,,91,Left,Medium,Medium,57,88,77,73,78,80,69,59,59,85,77,82,61,85,52,84,68,79,88,82,60,24,88,68,73,19,26,24,5,15,6,11,10
154,21155,40155,,83,Right,Medium,High,35,32,79,76,34,65,47,71,74,71,77,76,62,84,50,73,82,68,87,57,85,83,52,63,41,84,80,81,7,10,14,7,11
155,21156,40156,,85,Left,High,High,88,70,65,81,63,84,83,76,81,84,85,72,85,82,85,80,72,85,60,69,77,80,79,79,55,77,74,80,13,6,13,13,13
156,21157,40157,,86,Left,High,Medium,85,75,43,78,76,89,82,64,76,85,94,93,90,78,81,83,58,68,51,76,54,36,77,81,75,42,30,33,6,6,14,10,13
157,21158,40158,,84,Left,High,Medium,81,78,57,81,79,83,84,76,82,87,83,81,80,78,76,86,58,75,63,85,45,45,80,80,62,40,42,39,13,9,6,12,10
